timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,replica_scaling_down,load_change,load_increasing,load_decreasing,cpu_regime,cpu_regime_encoded,cpu_regime_change,time_idx,hour_pattern,day_pattern,growth_trend,replica_load_interaction,scaling_intensity,cpu_rolling_3_mean,cpu_rolling_3_std,mem_rolling_3_mean,cpu_lag_1,mem_lag_1,cpu_lag_2,mem_lag_2
t_0,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,6.793537494113401e-05,0.0,0.067935374941134,0.0,1.0,1.0,-114.3811111111112,27.685479232395835,0.0,6.793537494113401e-05,1.0,0.0006991129176247,0.0,0,0,0.0,0,0,low,0,1,0,0.24019237886466838,1.0,1.0,0.4,0.0,6.793537494113401e-05,0.0,0.0,6.793537494113401e-05,0.0,6.793537494113401e-05,0.0
t_1,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,8.52544142497021e-05,14909440.0,0.085254414249702,1490944.0,1.0,2.0,-107.74483335503083,27.855790573262357,1.731903930856808e-05,8.52544142497021e-05,1.0,0.3399867126838976,0.0,0,0,0.0,0,0,low,0,0,1,0.228107663889005,1.0174311485495315,1.0041666666666667,0.4,0.0,7.659489459541805e-05,1.2246410138724865e-05,7454720.0,6.793537494113401e-05,0.0,6.793537494113401e-05,0.0
t_2,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,6.946666666666658e-05,14909440.0,0.0694666666666665,1490944.0,1.0,2.0,-89.34188648641143,27.84925720538024,-1.578774758303552e-05,6.946666666666658e-05,1.0,0.3398242433034745,0.0,0,0,0.0,0,0,low,0,0,2,0.2180922137642275,1.0347296355333861,1.0083333333333333,0.4,0.0,7.421881861916756e-05,9.587726100472195e-06,9939626.666666666,8.52544142497021e-05,14909440.0,6.793537494113401e-05,0.0
t_3,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0001924971739304,14909440.0,0.1924971739304171,1490944.0,1.0,2.0,-86.11343050534109,27.862718408639225,0.0001230305072637,0.0001924971739304,1.0,0.3410903320968983,0.0,0,0,0.0,0,0,medium,1,1,3,0.2102222521132795,1.0517638090205041,1.0125,0.4,0.0,0.00011573941828225623,6.694122819713963e-05,14909440.0,6.946666666666658e-05,14909440.0,8.52544142497021e-05,14909440.0
t_4,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0002193406392189,14909440.0,0.2193406392189247,1490944.0,1.0,2.0,-88.37300926680552,27.906528954777016,2.684346528850757e-05,0.0002193406392189,1.0,0.341366574236627,0.0,0,0,0.0,0,0,medium,1,0,4,0.20455767409633763,1.0684040286651337,1.0166666666666666,0.4,0.0,0.00016043482660532218,7.991587764106922e-05,14909440.0,0.0001924971739304,14909440.0,6.946666666666658e-05,14909440.0
t_5,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0002237805483776,14909440.0,0.2237805483776438,1490944.0,1.0,2.0,-93.09265312975955,27.87995170731695,4.439909158719191e-06,0.0002237805483776,1.0,0.341412264686538,0.0,0,0,0.0,0,0,medium,1,0,5,0.20114159057247633,1.0845236523481399,1.0208333333333333,0.4,0.0,0.00021187278717563335,1.692598563765253e-05,14909440.0,0.0002193406392189,14909440.0,0.0001924971739304,14909440.0
t_6,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0001969370830891,14909440.0,0.1969370830891362,1490944.0,1.0,2.0,-99.2331981719636,27.7607978696783,-2.6843465288507647e-05,0.0001969370830891,1.0,0.3411360225468094,0.0,0,0,0.0,0,0,medium,1,0,6,0.2,1.1,1.025,0.4,0.0,0.0002133527568952,1.4388674651113002e-05,14909440.0,0.0002237805483776,14909440.0,0.0002193406392189,14909440.0
t_7,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0001700936178006,14909440.0,0.1700936178006286,1490944.0,1.0,2.0,-106.53774436637688,29.04185571315901,-2.6843465288507647e-05,0.0001700936178006,1.0,0.3408597804070807,0.0,0,0,0.0,0,0,medium,1,0,7,0.20114159057247633,1.1147152872702093,1.0291666666666666,0.4,0.0,0.00019693708308910003,2.6843465288499943e-05,14909440.0,0.0001969370830891,14909440.0,0.0002237805483776,14909440.0
t_8,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0001854865792836,14909440.0,0.1854865792836743,1490944.0,1.0,2.0,-113.79654745644244,27.95467864335725,1.539296148304572e-05,0.0001854865792836,1.0,0.3410181871020113,0.0,0,0,0.0,0,0,medium,1,0,8,0.20455767409633757,1.1285575219373079,1.0333333333333334,0.4,0.0,0.00018417242672443335,1.3469898102261055e-05,14909440.0,0.0001700936178006,14909440.0,0.0001969370830891,14909440.0
t_9,frontend_checkout_replicas_4_users_10,frontend,checkout,4,10,0.0002297605193421,14909440.0,0.2297605193421292,1490944.0,1.0,2.0,2.398770051494864,27.98773995026258,4.4273940058454935e-05,0.0002297605193421,1.0,0.3414738036852102,0.0,0,0,0.0,0,0,medium,1,0,9,0.2102222521132795,1.1414213562373094,1.0375,0.4,0.0,0.0001951135721421,3.0976507687503585e-05,14909440.0,0.0001854865792836,14909440.0,0.0001700936178006,14909440.0
