timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.00014584987147267875,0.0,0.14584987147267875,0.0,0.0,1.0,3.472404856359873,28.631993449864027,0.0,0.00014584987147267875,1.0,0.006202411062642354
t_1,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.00027220532435851094,46039040.0,0.27220532435851097,4603904.0,0.0,2.0,3.4478724481355414,28.65795435466441,0.0001263554528858322,0.00027220532435851094,1.0,0.4760002302901068
t_2,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.000408814675173228,45625344.0,0.408814675173228,4562534.4,0.0,2.0,3.766489852967851,28.623758936850408,0.00013660935081471706,0.000408814675173228,1.0,0.47763647018174665
t_3,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0005666102230850179,45625344.0,0.5666102230850179,4562534.4,0.0,2.0,3.855141340880053,28.682066192171334,0.00015779554791178985,0.0005666102230850179,1.0,0.48434688303382195
t_4,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0007046113030171209,45621248.0,0.7046113030171209,4562124.8,0.0,2.0,3.768092052461512,28.66623817613919,0.00013800107993210305,0.0007046113030171209,1.0,0.49017419751890573
t_5,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0008686854592454306,45588480.0,0.8686854592454306,4558848.0,0.0,2.0,3.9722874577411034,28.926488234138276,0.00016407415622830975,0.0008686854592454306,1.0,0.4968210632495265
t_6,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0010049655117777639,45547520.0,1.0049655117777638,4554752.0,0.0,2.0,4.096178089921793,28.84399517861867,0.0001362800525323332,0.0010049655117777639,1.0,0.5022033192367719
t_7,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0011486260866755721,45555712.0,1.1486260866755722,4555571.2,0.0,2.0,4.096288476497421,28.72829287450824,0.00014366057489780828,0.0011486260866755721,1.0,0.5083952660803804
t_8,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0012844445530623078,45535232.0,1.2844445530623079,4553523.2,0.0,2.0,4.1157053466482125,29.244725042460757,0.00013581846638673566,0.0012844445530623078,1.0,0.5139644871533298
t_9,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014246591107236264,45080576.0,1.4246591107236264,4508057.600000001,0.0,2.0,4.156434389341499,29.01953330034597,0.00014021455766131865,0.0014246591107236264,1.0,0.5153408530645536
t_10,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014405820476858344,45051904.0,1.4405820476858344,4505190.4,0.0,2.0,4.15394976949068,28.723830458773307,1.5922936962207935e-05,0.0014405820476858344,1.0,0.5157287595245528
t_11,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014447422539073213,45051904.0,1.4447422539073214,4505190.4,0.0,2.0,3.8258890374579977,28.718159985739987,4.16020622148695e-06,0.0014447422539073213,1.0,0.5159056764380233
t_12,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014397118253252166,44998656.0,1.4397118253252166,4499865.600000001,0.0,2.0,4.06504065040653,28.846559218598955,-5.030428582104753e-06,0.0014397118253252166,1.0,0.5151546067614168
t_13,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.001441864816078773,44871680.0,1.441864816078773,4487168.0,0.0,2.0,4.306457865716624,29.02236853686263,2.1529907535565093e-06,0.001441864816078773,1.0,0.5139652789605645
t_14,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014204326702722517,44863488.0,1.4204326702722516,4486348.8,0.0,2.0,4.280284510686926,28.727923061049538,-2.143214580652142e-05,0.0014204326702722517,1.0,0.5129712178134627
t_15,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014082782666565393,44867584.0,1.4082782666565392,4486758.4,0.0,2.0,4.192717400161399,28.72937766065374,-1.2154403615712364e-05,0.0014082782666565393,1.0,0.5124956585922001
t_16,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.001413725567848386,44847104.0,1.413725567848386,4484710.4,0.0,2.0,4.1615429442020115,28.71660676921347,5.447301191846641e-06,0.001413725567848386,1.0,0.5125207160050133
t_17,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0014112888354653427,44740608.0,1.4112888354653426,4474060.8,0.0,2.0,4.170031038646144,29.038048627511316,-2.436732383043292e-06,0.0014112888354653427,1.0,0.5113428001523642
t_18,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.001408413675413136,44679168.0,1.408413675413136,4467916.8,0.0,2.0,4.263245748544946,28.549401777422105,-2.8751600522065705e-06,0.001408413675413136,1.0,0.5106007476182844
t_19,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013931720576243545,44728320.0,1.3931720576243545,4472832.0,0.0,4.0,4.330841846120393,28.735319330223447,-1.5241617788781543e-05,0.0013931720576243545,1.0,0.5104484094311068
t_20,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.001399296878309119,44769280.0,1.3992968783091189,4476928.0,0.0,4.0,4.431201008443608,28.90826875773989,6.124820684764434e-06,0.001399296878309119,1.0,0.5111220625241885
t_21,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013754928863783157,45387776.0,1.3754928863783156,4538777.600000001,0.0,4.0,4.4913439956145425,28.807087795440893,-2.3803991930803313e-05,0.0013754928863783157,1.0,0.5163489278455731
t_22,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013687363033600096,45703168.0,1.3687363033600095,4570316.8,0.0,4.0,4.881024695107598,28.662120919632386,-6.756583018306065e-06,0.0013687363033600096,1.0,0.5192431526659849
t_23,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013547660428043131,45707264.0,1.3547660428043131,4570726.4,0.0,4.0,4.881487682077434,28.844808768227793,-1.3970260555696461e-05,0.0013547660428043131,1.0,0.5186903723196091
t_24,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013602454983933897,45707264.0,1.3602454983933896,4570726.4,0.0,4.0,4.915440059855129,28.92037398495451,5.479455589076521e-06,0.0013602454983933897,1.0,0.5189233916265155
t_25,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.00135441657963815,45703168.0,1.35441657963815,4570316.8,0.0,4.0,5.046199755296939,29.011545329638153,-5.828918755239679e-06,0.00135441657963815,1.0,0.51863419215111
t_26,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013578868233525222,45703168.0,1.3578868233525223,4570316.8,0.0,4.0,5.2284313471294865,28.779968141803252,3.4702437143722432e-06,0.0013578868233525222,1.0,0.5187817677217069
t_27,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013551580884202659,45703168.0,1.3551580884202659,4570316.8,0.0,4.0,5.206350205813109,28.823680092621018,-2.728734932256347e-06,0.0013551580884202659,1.0,0.5186657255506721
t_28,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0013550094517958417,45703168.0,1.3550094517958418,4570316.8,0.0,4.0,5.157890902985045,28.808961516964942,-1.4863662442412932e-07,0.0013550094517958417,1.0,0.5186594046301644
t_29,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0012737810723303872,45707264.0,1.2737810723303873,4570726.4,0.0,4.0,5.154453025168209,28.877524932207038,-8.122837946545453e-05,0.0012737810723303872,1.0,0.5152464057826257
t_30,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.00019267298609853018,45707264.0,0.19267298609853017,4570726.4,0.0,4.0,5.08006617651597,28.78105292794875,-0.001081108086231857,0.00019267298609853018,1.0,0.46927120754453416
t_31,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0003265199549514304,0.0,0.3265199549514304,0.0,0.0,,,,0.0001338469688529002,0.0003265199549514304,1.0,0.013885586324589983
t_32,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0004496184848537644,45621248.0,0.4496184848537644,4562124.8,0.0,,,,0.00012309852990233401,0.0004496184848537644,1.0,0.4793303739330411
t_33,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0005789553901694627,45588480.0,0.5789553901694627,4558848.0,0.0,,,,0.00012933690531569835,0.0005789553901694627,1.0,0.48450000346749206
t_34,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0007025975139131486,44998656.0,0.7025975139131486,4499865.600000001,0.0,,,,0.00012364212374368585,0.0007025975139131486,1.0,0.4838080864431549
t_35,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0008365262369110959,44670976.0,0.8365262369110958,4467097.600000001,0.0,,,,0.00013392872299794727,0.0008365262369110959,1.0,0.48619802685131946
t_36,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0009607941195093533,44666880.0,0.9607941195093533,4466688.0,0.0,,,,0.00012426788259825745,0.0009607941195093533,1.0,0.4914413234404063
t_37,recommendationservice_browsing_replicas_4_users_30,recommendationservice,browsing,4,30,0.0010932428039637468,44605440.0,1.0932428039637467,4460544.0,0.0,,,,0.00013244868445439352,0.0010932428039637468,1.0,0.49645405218746225
