timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value
t_0,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,8.549201507357275e-05,0.0,0.08549201507357275,0.0,0.0,1.0,3.1273882676563005,28.845720974759246,0.0,8.549201507357275e-05,1.0,0.023832329042033813
t_1,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.00012134674705539878,9158656.0,0.12134674705539879,915865.6000000001,0.0,1.0,3.100484476743162,28.84653456436837,3.5854731981826036e-05,0.00012134674705539878,1.0,0.4017116076717641
t_2,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.00017633259835883169,8626176.0,0.1763325983588317,862617.6000000001,0.0,1.0,3.1434386609527394,29.12362346185337,5.49858513034329e-05,0.00017633259835883169,1.0,0.39565121867628245
t_3,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.0002212832693678455,8888320.0,0.2212832693678455,888832.0,0.0,1.0,3.1173065858709776,28.973602468776036,4.4950671009013824e-05,0.0002212832693678455,1.0,0.41871174954556767
t_4,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.0002630210490881442,9465856.0,0.2630210490881442,946585.6000000001,0.0,1.0,3.077747446425377,28.768750466889486,4.1737779720298686e-05,0.0002630210490881442,1.0,0.4535452742333598
t_5,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.0003076737054350002,9596928.0,0.30767370543500017,959692.8,0.0,1.0,3.0215679447670567,28.846929032057645,4.4652656346855994e-05,0.0003076737054350002,1.0,0.4712578387649504
t_6,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.0003470927512886906,9613312.0,0.3470927512886906,961331.2000000001,6.0,1.0,3.156356605513821,28.954347514693296,3.941904585369043e-05,0.0003470927512886906,0.14285714285714285,0.4829046682946988
t_7,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.00039142947931957155,9625600.0,0.39142947931957156,962560.0,6.0,2.0,3.2071226179233037,28.77158570340616,4.433672803088093e-05,0.00039142947931957155,1.0,0.4957578561735876
t_8,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.0004435599643974849,9596928.0,0.4435599643974849,959692.8,6.0,2.0,3.275540213196308,28.919018002272622,5.2130485077913334e-05,0.0004435599643974849,1.0,0.5091384061266856
t_9,shippingservice_checkout_replicas_4_users_10,shippingservice,checkout,4,10,0.00042486717748556547,9601024.0,0.42486717748556546,960102.4,6.0,2.0,3.305893537295219,29.00493799584281,-1.869278691191942e-05,0.00042486717748556547,1.0,0.5040920069463165
