timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,replica_scaling_down,load_change,load_increasing,load_decreasing,cpu_regime,cpu_regime_encoded,cpu_regime_change,time_idx,hour_pattern,day_pattern,growth_trend,replica_load_interaction,scaling_intensity,cpu_rolling_3_mean,cpu_rolling_3_std,mem_rolling_3_mean,cpu_lag_1,mem_lag_1,cpu_lag_2,mem_lag_2
t_0,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0063424486566606,0.0,6.342448656660679,0.0,1.0,1.0,2.1925714962927856,26.70165264622355,0.0,0.0063424486566606,1.0,0.0652171103438627,0.0,0,0,0.0,0,0,low,0,1,0,0.24019237886466838,1.0,1.0,0.6,0.0,0.0063424486566606,0.0,0.0,0.0063424486566606,0.0,0.0063424486566606,0.0
t_1,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0039187885968886,0.0,3.918788596888676,0.0,1.0,1.0,2.2084121875613647,26.79437716171269,-0.002423660059772,0.0039187885968886,1.0,0.0402954887256618,0.0,0,0,0.0,0,0,low,0,0,1,0.21949512719437558,1.0320822561715521,1.0076923076923077,0.6,0.0,0.005130618626774599,0.001713786463555774,0.0,0.0063424486566606,0.0,0.0063424486566606,0.0
t_2,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0486256491833169,0.0,48.62564918331694,0.0,1.0,1.0,2.225484859593436,26.83944507299005,0.0447068605864282,0.0486256491833169,1.0,0.5,0.0,0,0,0.0,0,0,high,2,1,2,0.20606280438731972,1.0633335987602945,1.0153846153846153,0.6,0.0,0.01962896214562203,0.025141090397849685,0.0,0.0039187885968886,0.0,0.0063424486566606,0.0
t_3,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0417566803164389,0.0,41.7566803164389,0.0,1.0,1.0,2.22817042940666,26.710035080487387,-0.006868968866878,0.0417566803164389,1.0,0.4293688723724564,0.0,0,0,0.0,0,0,high,2,0,3,0.20024330054852912,1.0929446344087537,1.023076923076923,0.6,0.0,0.0314337060322148,0.024074856062459606,0.0,0.0486256491833169,0.0,0.0039187885968886,0.0
t_4,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0427915982709217,0.0,42.79159827092171,0.0,1.0,1.0,2.242527479987899,26.809786048227096,0.0010349179544828,0.0427915982709217,1.0,0.4400105601634122,0.0,0,0,0.0,0,0,high,2,0,4,0.20218733777058384,1.1201484528475958,1.0307692307692307,0.6,0.0,0.0443913092568925,0.003703375453894939,0.0,0.0417566803164389,0.0,0.0486256491833169,0.0
t_5,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0459995618701943,0.0,45.999561870194334,0.0,1.0,1.0,2.3346800623618265,28.078837287335787,0.0032079635992726,0.0459995618701943,1.0,0.4729968919980651,0.0,0,0,0.0,0,0,high,2,0,5,0.2118445665105883,1.1442404894687628,1.0384615384615385,0.6,0.0,0.04351594681918497,0.0022122435635182135,0.0,0.0427915982709217,0.0,0.0417566803164389,0.0
t_6,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0481660446349636,0.0,48.16604463496367,0.0,1.0,1.0,2.352849677608134,26.999204408371497,0.0021664827647693,0.0481660446349636,1.0,0.495274052315265,0.0,0,0,0.0,0,0,high,2,0,6,0.22896486961688534,1.1645967731787312,1.0461538461538462,0.6,0.0,0.04565240159202653,0.0027039893905198456,0.0,0.0459995618701943,0.0,0.0427915982709217,0.0
t_7,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0471294156666666,0.0,47.12941566666667,0.0,1.0,1.0,2.395595988375561,26.999204408371497,-0.001036628968297,0.0471294156666666,1.0,0.4846147707868174,0.0,0,0,0.0,0,0,high,2,0,7,0.25310484023190305,1.1806900869220764,1.0538461538461539,0.6,0.0,0.0470983407239415,0.0010835756233690149,0.0,0.0481660446349636,0.0,0.0459995618701943,0.0
t_8,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0471294156666666,0.0,47.12941566666667,0.0,1.0,1.0,17.768382351974324,26.999204408371497,0.0,0.0471294156666666,1.0,0.4846147707868174,0.0,0,0,0.0,0,0,high,2,0,8,0.28363926579685567,1.1921036223262744,1.0615384615384615,0.6,0.0,0.04747495865609893,0.0005984980138959604,0.0,0.0471294156666666,0.0,0.0481660446349636,0.0
t_9,frontend_browsing_replicas_2_users_30,frontend,browsing,2,30,0.0471294156666666,0.0,47.12941566666667,0.0,1.0,1.0,27.541091142255155,26.999204408371497,0.0,0.0471294156666666,1.0,0.4846147707868174,0.0,0,0,0.0,0,0,high,2,0,9,0.3197773207286063,1.1985417748196108,1.0692307692307692,0.6,0.0,0.0471294156666666,0.0,0.0,0.0471294156666666,0.0,0.0471294156666666,0.0
