timestamp,experiment_id,service,scenario,replica_count,load_users,cpu_cores_value,mem_bytes_value,net_rx_bytes_value,net_tx_bytes_value,pod_restarts_value,replica_count_value,node_cpu_util_value,node_mem_util_value,network_activity_rate_value,processing_intensity_value,service_stability_value,resource_pressure_value,replica_change,replica_scaling_up,load_change,load_increasing,cpu_regime_encoded,time_idx,hour_pattern,growth_trend,cpu_cores_value_roll_mean,cpu_cores_value_lag_1,mem_bytes_value_roll_mean,mem_bytes_value_lag_1
t_0,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,6.857417387197516e-05,0.0,0.0685741738719751,0.0,0.0,2.0,2.249768816029402,27.021547792214196,0.0,6.857417387197516e-05,1.0,0.0049095858626609,0.0,0,0.0,0,0,0,0.24019237886466838,1.0,6.857417387197516e-05,6.857417387197516e-05,0.0,0.0
t_1,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0013984949999999,67088384.0,1.3984949999999998,6708838.4,0.0,4.0,2.323277219104753,27.86040778087326,0.001329920826128,0.0013984949999999,1.0,0.4296431775276431,0.0,0,0.0,0,0,1,0.23205277646452283,1.0027272727272727,0.0007335345869359377,6.857417387197516e-05,33544192.0,0.0
t_2,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.001378455272816,77082624.0,1.3784552728160075,7708262.4,0.0,4.0,2.3348037745027312,27.991001208057,-2.0039727183992183e-05,0.001378455272816,1.0,0.4772970692438165,0.0,0,0.0,0,0,2,0.224787162214111,1.0054545454545454,0.0009485081488959584,0.0013984949999999,48057002.666666664,67088384.0
t_3,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0015051167570218,76988416.0,1.5051167570218675,7698841.600000001,0.0,4.0,2.350853930004064,28.024851458297377,0.0001266614842058,0.0015051167570218,1.0,0.4859027104408376,0.0,0,0.0,0,0,3,0.21841923503694327,1.0081818181818183,0.001427355676612567,0.001378455272816,73719808.0,77082624.0
t_4,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0017405224380015,77062144.0,1.7405224380015765,7706214.4,0.0,4.0,2.36824008158446,27.974310298069568,0.0002354056809797,0.0017405224380015,1.0,0.5031187708853085,0.0,0,0.0,0,1,4,0.21296976578788346,1.010909090909091,0.0015413648226131,0.0015051167570218,77044394.66666667,76988416.0
t_5,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0018948576350306,76922880.0,1.894857635030646,7692288.0,0.0,4.0,2.3694747135036778,27.976553832499192,0.000154335197029,0.0018948576350306,1.0,0.5134844175179152,0.0,0,0.0,0,1,5,0.20845652950293753,1.0136363636363637,0.0017134989433513,0.0017405224380015,76991146.66666667,77062144.0
t_6,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0020199316866526,77086720.0,2.019931686652642,7708672.0,0.0,4.0,2.352397214186837,27.85037351150119,0.0001250740516219,0.0020199316866526,1.0,0.5232438586865025,0.0,0,0.0,0,2,6,0.20489424742078038,1.0163636363636364,0.0018851039198949,0.0018948576350306,77023914.66666667,76922880.0
t_7,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0021822454443855,77230080.0,2.1822454443855377,7723008.0,0.0,4.0,2.346069749037312,27.92522373708735,0.0001623137577328,0.0021822454443855,1.0,0.5355688948484078,0.0,0,0.0,0,2,7,0.20229453896513572,1.019090909090909,0.0020323449220229,0.0020199316866526,77079893.33333333,77086720.0
t_8,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.002339780664297,77246464.0,2.339780664297044,7724646.4,0.0,4.0,2.329657834109895,27.95014915805824,0.0001575352199115,0.002339780664297,1.0,0.5469281431858195,0.0,0,0.0,0,2,8,0.20066588384463047,1.0218181818181817,0.0021806525984450335,0.0021822454443855,77187754.66666667,77230080.0
t_9,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0025271798167637,77615104.0,2.52717981676371,7761510.4,0.0,4.0,2.356612404392848,27.972411922782968,0.0001873991524666,0.0025271798167637,1.0,0.5621556809828057,0.0,0,0.0,0,2,9,0.20001359439374816,1.0245454545454546,0.0023497353084820666,0.002339780664297,77363882.66666667,77246464.0
t_10,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0017161753414873,77635584.0,1.7161753414873668,7763558.4,0.0,4.0,2.286238124340244,27.96348709351348,-0.0008110044752763,0.0017161753414873,1.0,0.5041921955415166,0.0,0,0.0,0,1,10,0.20033979824509762,1.0272727272727273,0.002194378607516,0.0025271798167637,77499050.66666667,77615104.0
t_11,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0016981902407826,77725696.0,1.6981902407826737,7772569.600000001,0.0,4.0,2.264525297271817,28.015630778333872,-1.7985100704693375e-05,0.0016981902407826,1.0,0.5033471500687259,0.0,0,0.0,0,1,11,0.201643431389518,1.03,0.0019805151330112,0.0017161753414873,77658794.66666667,77635584.0
t_12,adservice_checkout_replicas_1_users_30,adservice,checkout,1,30,0.0016711167251054,77770752.0,1.671116725105444,7777075.2,0.0,4.0,2.2595333516061373,28.00488153645128,-2.7073515677229505e-05,0.0016711167251054,1.0,0.5016301159043395,0.0,0,0.0,0,1,12,0.20392024164665534,1.0327272727272727,0.0016951607691251,0.0016981902407826,77710677.33333333,77725696.0
